Table 1
LSOAcode,LSOAname,houseprice
E01008328,Newcastle upon Tyne 015E,"148,500"
E01008329,Newcastle upon Tyne 015F,"124,950"
E01008330,Newcastle upon Tyne 015G,"126,998"
E01008331,Newcastle upon Tyne 029A,null
E01008332,Newcastle upon Tyne 029B,"53,500"
E01008333,Newcastle upon Tyne 029C,"87,000"
E01008334,Newcastle upon Tyne 029D,"92,000"
E01008335,Newcastle upon Tyne 029E,"91,000"
E01008336,Newcastle upon Tyne 003A,"115,000"
E01008337,Newcastle upon Tyne 003B,"130,000"
E01008338,Newcastle upon Tyne 003C,"107,000"
E01008339,Newcastle upon Tyne 003D,"98,500"
E01008340,Newcastle upon Tyne 003E,"113,000"
E01008341,Newcastle upon Tyne 003F,"113,500"
E01008342,Newcastle upon Tyne 003G,"148,000"
E01008343,Newcastle upon Tyne 019A,"127,000"
E01008344,Newcastle upon Tyne 019B,"107,998"
E01008345,Newcastle upon Tyne 019C,"110,000"
E01008346,Newcastle upon Tyne 019D,"102,500"
E01008347,Newcastle upon Tyne 019E,"155,000"
E01008348,Newcastle upon Tyne 019F,"197,500"
E01008349,Newcastle upon Tyne 019G,"138,500"
E01008350,Newcastle upon Tyne 019H,"110,000"
E01008351,Newcastle upon Tyne 005A,"211,000"
E01008352,Newcastle upon Tyne 002C,"200,000"
E01008353,Newcastle upon Tyne 006A,"150,000"
E01008354,Newcastle upon Tyne 005B,"312,000"
E01008355,Newcastle upon Tyne 006B,"250,000"
E01008356,Newcastle upon Tyne 006C,"271,500"
E01008357,Newcastle upon Tyne 002D,"204,403"
E01008358,Newcastle upon Tyne 002E,"204,000"
E01008359,Newcastle upon Tyne 018B,"178,000"
E01008360,Newcastle upon Tyne 018C,"118,500"
E01008361,Newcastle upon Tyne 018D,"136,000"
E01008362,Newcastle upon Tyne 018E,"160,000"
E01008363,Newcastle upon Tyne 012E,"148,000"
E01008364,Newcastle upon Tyne 018F,"137,600"
E01008365,Newcastle upon Tyne 012F,"313,000"
E01008366,Newcastle upon Tyne 013A,"210,000"
E01008367,Newcastle upon Tyne 017A,"270,000"
E01008368,Newcastle upon Tyne 017B,"234,000"
E01008369,Newcastle upon Tyne 013B,"292,000"
E01008370,Newcastle upon Tyne 017C,"250,000"
E01008371,Newcastle upon Tyne 013C,"555,000"
E01008372,Newcastle upon Tyne 013D,"215,000"
E01008373,Newcastle upon Tyne 013E,"191,500"
E01008374,Newcastle upon Tyne 008B,"227,500"
E01008375,Newcastle upon Tyne 008C,"120,000"
E01008376,Newcastle upon Tyne 008D,"250,000"
E01008377,Newcastle upon Tyne 008E,"109,000"
E01008378,Newcastle upon Tyne 006D,"387,500"
E01008379,Newcastle upon Tyne 008F,"156,000"
E01008380,Newcastle upon Tyne 008G,"42,750"
E01008381,Newcastle upon Tyne 021A,"130,000"
